nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
670.79,278.54,672.53,276.8,669.33,276.84,675.25,277.91,667.14,277.75,678.84,287.04,662.72,286.74,682.33,300.32,656.31,299.49,678.67,297.05,661.04,296.6,673.59,312.18,663.08,311.66,671.87,333.78,661.95,333.37,669.33,353.9,658.41,353.79
670.59,278.36,672.35,276.72,669.16,276.74,675.2,277.91,667.1,277.68,678.82,287.1,662.82,286.57,681.95,300.23,656.56,299.47,678.48,297.16,661.03,296.81,673.58,312.03,663.1,311.44,671.51,333.73,661.97,333.11,669.15,353.84,658.44,353.46
670.5,278.39,672.29,276.75,669.06,276.78,675.09,277.89,666.95,277.59,678.78,287.1,662.83,286.58,682.45,300.38,656.44,299.41,678.26,296.46,660.64,295.89,673.47,312.04,663.07,311.42,671.51,333.85,661.94,333.21,669.08,353.98,658.33,353.18
670.49,278.43,672.24,276.77,668.98,276.81,675.09,277.92,666.81,277.74,678.81,287.07,662.54,286.62,681.95,300.25,656.57,299.36,678.07,296.11,660.8,296.96,673.54,311.88,663.03,311.28,671.26,333.48,661.58,331.99,668.91,353.41,658.26,352.93
670.54,278.39,672.16,276.7,668.93,276.77,674.87,277.8,666.57,277.89,678.56,287.14,662.1,286.64,682.1,300.39,656.33,299.45,679.0,297.18,661.19,297.0,673.47,311.94,662.88,311.34,671.12,333.49,661.34,331.94,669.1,353.39,658.04,352.46
670.65,278.44,672.13,276.71,668.96,276.74,674.7,277.81,666.48,277.91,678.23,287.16,662.14,286.85,681.8,300.31,656.17,299.53,677.82,298.37,660.29,297.85,673.33,312.03,662.71,311.5,670.99,333.52,661.08,331.9,669.23,353.4,657.77,352.38
670.36,278.48,672.04,276.91,668.91,276.83,674.43,278.08,666.3,277.9,677.86,287.38,661.65,286.75,681.23,300.12,656.06,299.44,677.99,299.38,659.86,298.01,673.11,312.28,662.49,311.71,670.99,333.84,660.89,332.55,669.37,353.56,657.11,352.52
669.85,278.45,671.49,276.87,668.36,276.82,674.16,278.03,666.05,277.86,677.41,287.4,661.39,286.67,681.11,300.43,655.75,299.73,676.77,297.51,659.75,298.18,672.81,312.55,662.21,311.96,671.01,334.07,660.27,333.0,669.47,353.75,657.28,353.15
669.49,278.45,671.19,276.81,667.99,276.74,673.89,278.06,665.8,277.82,677.31,287.39,661.23,286.71,681.1,300.65,655.59,299.89,676.75,298.79,660.03,298.05,672.64,312.57,661.97,311.98,671.04,334.08,660.1,333.0,669.55,353.74,657.18,353.05
668.91,278.52,670.52,276.93,667.33,276.78,673.41,278.24,665.25,277.83,676.68,287.15,660.72,286.57,680.08,300.42,655.34,299.91,674.82,296.95,660.33,298.07,672.65,312.29,662.1,312.08,671.06,334.0,660.46,332.36,669.39,353.37,656.84,352.8
667.41,278.97,668.92,277.42,666.06,277.3,672.22,278.44,664.27,277.99,676.02,287.33,659.65,286.79,679.9,300.81,654.81,300.07,673.27,296.29,659.51,298.36,671.93,312.53,661.46,312.22,671.05,333.99,659.94,332.83,669.73,353.38,656.89,353.17
666.75,279.14,668.33,277.58,665.42,277.46,671.59,278.46,663.43,278.11,675.57,287.56,658.92,286.87,678.92,300.77,654.52,300.25,672.28,295.65,659.38,298.81,671.66,312.77,661.0,312.32,670.72,334.21,659.43,332.87,670.11,353.87,656.93,353.44
666.07,279.09,667.74,277.47,664.55,277.45,670.92,278.42,662.71,278.23,674.85,287.53,657.74,287.1,677.9,300.16,653.44,300.58,671.31,295.26,659.52,297.75,671.05,312.55,660.34,312.23,670.95,333.36,658.98,332.75,669.93,353.35,656.92,353.43
665.45,278.69,666.89,277.15,663.8,277.04,669.93,278.3,661.85,277.92,673.83,287.39,656.83,287.03,677.13,300.24,652.31,300.61,670.75,294.55,657.22,299.02,670.39,312.4,659.64,312.13,670.48,333.32,658.8,332.8,670.09,353.3,657.25,353.38
662.29,279.37,663.95,277.74,660.55,277.79,666.75,278.71,658.22,278.58,670.48,287.63,653.81,287.65,674.05,300.2,649.88,301.37,671.02,297.76,653.91,299.0,667.54,313.65,656.86,314.05,668.63,335.17,657.35,334.94,670.23,354.44,657.32,354.93
662.15,279.42,663.63,277.61,660.71,277.78,666.2,278.54,658.12,278.73,670.11,287.72,653.34,287.83,674.1,300.43,649.11,301.32,670.2,298.17,653.46,298.96,667.0,313.44,656.54,313.91,668.09,334.33,656.93,333.97,670.02,353.66,657.56,353.14
662.03,279.63,663.33,277.91,660.21,278.05,665.74,278.65,657.25,279.1,669.7,288.07,652.73,288.27,673.39,300.46,649.05,302.11,670.08,298.13,653.89,299.11,666.65,313.73,655.45,313.9,667.7,334.64,656.48,334.47,669.74,353.81,657.35,353.23
661.82,279.69,662.93,277.79,659.97,278.06,665.29,278.59,656.88,279.12,669.28,288.04,652.33,288.38,673.1,300.84,648.44,302.21,668.85,298.07,653.4,299.08,666.38,313.78,655.62,314.4,667.32,334.67,656.47,334.54,669.79,353.87,657.34,353.41
661.42,279.71,662.99,277.94,659.63,278.13,665.01,278.75,656.6,279.17,669.12,288.05,651.96,288.52,673.1,300.67,648.06,302.06,667.84,297.37,652.82,298.91,666.31,313.75,655.32,314.18,667.24,334.7,656.42,334.53,669.24,353.94,657.41,353.2
661.33,279.85,662.91,278.07,659.46,278.29,664.8,278.96,656.33,279.16,668.79,288.09,651.67,288.71,673.06,300.68,648.27,302.24,668.32,297.07,652.55,298.94,666.05,313.25,655.11,314.1,667.06,334.66,656.29,334.65,668.91,354.16,657.14,354.13
660.92,280.02,662.28,278.33,659.31,278.66,664.62,279.08,656.19,279.69,668.64,288.08,651.53,288.71,672.27,300.45,648.42,302.27,667.81,296.52,652.37,298.97,665.99,313.22,655.03,314.15,666.94,334.56,656.24,334.6,668.73,354.08,657.45,353.6
660.62,280.37,662.19,278.69,658.88,278.79,664.39,279.33,656.04,279.68,668.55,288.14,651.4,288.75,672.23,300.48,648.35,302.2,668.2,296.54,652.13,299.82,666.08,313.63,654.84,314.35,666.86,335.09,656.04,335.13,668.96,354.76,657.57,354.26
661.01,280.81,662.45,279.13,659.19,279.28,664.26,279.63,656.08,279.82,668.34,288.19,651.35,288.8,672.92,300.37,648.15,302.3,668.4,296.73,651.9,299.81,666.01,313.96,654.89,314.56,666.77,335.21,656.02,335.28,668.85,354.53,657.62,354.33
661.05,280.74,662.53,279.1,659.21,279.23,664.26,279.65,656.04,279.88,668.28,288.24,651.35,288.86,672.67,300.27,648.11,302.32,668.99,297.14,651.83,299.37,665.71,313.75,654.88,314.6,666.66,335.11,655.97,335.15,668.37,354.39,657.43,354.24
660.87,280.85,662.46,279.13,659.09,279.32,664.35,279.61,656.01,279.86,668.35,288.33,651.35,288.92,672.65,300.33,648.05,302.16,669.09,298.33,651.76,300.06,665.78,313.79,654.94,314.62,666.69,335.17,656.09,335.19,668.27,354.41,657.69,354.12
660.92,280.8,662.45,279.16,659.14,279.29,664.39,279.63,656.04,279.88,668.4,288.38,651.38,288.98,672.91,300.38,648.05,302.21,668.47,297.99,652.0,299.89,665.83,313.87,655.03,314.64,666.73,335.22,656.16,335.22,668.01,354.45,657.67,354.2
661.53,280.86,663.0,279.2,659.72,279.31,664.75,279.75,656.4,279.91,668.46,288.63,651.58,289.15,672.72,300.66,648.19,302.32,668.62,297.56,652.22,299.87,666.01,314.14,655.17,315.01,666.92,335.72,656.4,335.8,668.46,355.19,657.68,355.37
662.0,280.7,663.38,279.05,660.13,279.16,665.02,279.68,656.55,279.88,668.49,288.65,651.69,289.26,672.46,300.69,648.05,302.79,668.63,298.66,652.12,300.02,666.14,314.19,655.31,315.08,667.14,335.86,656.52,335.95,668.43,355.26,657.74,355.36
662.17,280.56,663.57,278.91,660.28,279.07,665.18,279.64,656.69,279.82,668.78,288.74,651.79,289.35,673.04,300.96,647.92,302.78,668.63,297.12,652.05,299.68,666.38,314.7,655.46,315.17,667.27,335.99,656.59,335.99,668.46,355.23,657.75,355.34
662.23,280.57,663.78,278.76,660.44,278.93,665.36,279.54,656.84,279.72,668.91,288.68,651.92,289.3,673.25,300.86,648.05,302.78,668.62,297.43,652.14,299.74,666.81,315.08,655.63,315.27,667.35,335.97,656.71,336.08,668.48,355.18,657.81,355.31
662.33,280.56,663.77,278.78,660.41,278.94,665.36,279.56,656.91,279.73,668.94,288.69,652.01,289.22,673.28,300.77,648.12,302.78,668.72,297.07,652.4,298.83,666.98,315.16,655.86,315.28,667.47,336.12,656.86,336.13,668.82,355.33,657.91,355.37
662.61,280.19,664.0,278.53,660.68,278.74,665.58,279.4,657.11,279.64,669.11,288.69,652.18,289.23,673.35,300.77,648.2,302.74,668.88,297.2,652.31,299.76,667.06,315.19,655.84,315.16,667.71,336.44,656.91,336.55,668.93,355.25,658.07,355.48
663.0,280.26,664.45,278.57,661.07,278.7,666.11,279.36,657.33,279.82,669.6,288.57,652.57,289.15,674.05,300.33,647.99,302.98,671.34,297.77,653.22,300.69,667.69,315.1,656.39,314.99,668.09,336.24,657.06,336.27,669.01,355.26,657.92,355.49
662.6,280.76,664.19,279.06,660.82,279.0,666.61,279.65,658.24,279.86,670.91,289.23,653.6,289.59,676.08,301.98,650.13,303.18,669.86,298.07,658.22,299.27,668.04,315.89,656.99,315.87,668.28,337.39,657.72,337.54,669.17,356.71,657.79,357.54
662.58,280.78,664.19,279.07,660.82,279.01,666.63,279.64,658.2,279.95,670.93,289.21,653.66,289.56,676.14,301.91,650.21,303.21,668.96,298.81,658.82,299.31,668.03,315.95,656.99,315.95,668.41,337.31,657.78,337.58,669.18,356.81,657.79,357.55
662.58,280.8,664.19,279.09,660.84,279.03,666.67,279.63,658.22,279.97,671.02,289.19,653.75,289.56,676.37,301.85,650.11,303.14,668.73,299.2,659.41,299.45,668.05,315.75,657.03,315.88,668.31,337.15,657.75,337.44,669.23,357.0,657.93,357.13
662.59,280.81,664.2,279.1,660.85,279.04,666.7,279.64,658.29,279.9,671.12,289.21,653.8,289.57,676.47,301.85,650.84,303.35,668.64,299.16,659.35,299.33,668.02,315.68,657.13,315.73,668.23,337.14,657.73,337.44,669.25,357.03,658.14,357.96
662.54,280.76,664.19,279.06,660.78,279.04,666.69,279.61,658.15,280.0,671.16,289.12,653.78,289.61,676.4,301.8,650.58,303.18,668.51,299.1,659.35,299.49,668.08,315.63,657.06,315.72,668.18,337.15,657.74,337.44,668.85,356.67,658.08,357.08
662.52,280.76,664.2,279.0,660.72,279.09,666.86,279.7,658.16,280.0,671.28,289.18,653.88,289.65,676.67,302.0,650.74,303.13,668.72,299.17,659.68,299.66,668.1,315.76,657.2,315.79,668.18,337.2,657.74,337.5,668.85,356.65,657.85,356.89
662.52,280.71,664.18,278.98,660.72,279.05,666.9,279.69,658.25,279.96,671.37,289.09,654.05,289.4,676.66,302.02,650.94,303.03,667.78,299.35,658.59,299.14,668.1,315.86,657.16,315.78,668.19,337.28,657.65,337.52,668.92,356.94,657.87,356.91
662.53,280.59,664.17,278.91,660.75,278.9,666.87,279.64,658.26,279.9,671.37,289.0,653.96,289.43,676.53,301.87,650.48,303.19,667.88,299.18,659.32,299.53,668.09,315.83,657.11,315.69,668.14,337.13,657.71,337.35,668.87,356.24,657.99,357.43
662.55,280.56,664.19,279.01,660.75,278.96,666.92,279.73,658.3,279.81,671.36,288.78,653.94,289.14,676.73,301.82,650.19,302.87,667.99,299.06,659.39,299.36,668.05,315.37,657.09,315.44,668.09,337.18,657.59,337.09,668.78,356.36,657.93,357.16
662.62,280.52,664.26,278.79,660.87,278.8,666.92,279.26,658.41,279.85,671.4,288.58,654.07,288.84,676.43,301.64,650.07,302.72,668.74,297.81,658.65,299.06,668.0,315.22,657.11,315.16,668.13,337.21,657.46,336.9,668.63,356.22,657.71,357.05
662.77,280.26,664.34,278.57,660.94,278.57,667.03,279.02,658.53,279.56,671.5,288.23,654.14,288.47,676.31,301.55,650.06,302.51,668.94,297.73,658.14,298.8,668.1,315.02,657.16,314.94,668.22,336.49,657.41,336.63,668.58,356.1,657.64,356.87
662.71,279.97,664.29,278.23,661.05,278.16,667.0,278.72,658.56,278.98,671.49,287.87,654.24,288.16,676.14,301.54,650.67,302.17,669.34,297.64,658.89,298.26,668.18,315.03,657.31,314.95,668.23,336.43,657.35,336.53,668.24,355.98,657.36,356.54
662.7,279.88,664.25,278.1,660.92,278.2,667.26,278.71,658.6,278.86,671.6,287.28,654.32,287.48,675.97,301.06,650.77,301.11,669.0,297.75,659.82,297.93,668.31,314.81,657.06,314.58,668.44,336.37,657.35,336.05,668.05,355.73,657.29,356.46
662.58,279.19,664.24,277.53,660.87,277.56,667.25,278.01,658.63,278.31,671.76,286.94,654.42,286.93,675.76,300.59,651.14,301.01,668.76,297.58,658.57,297.71,668.52,314.18,657.4,314.08,668.34,335.5,657.42,335.31,668.08,354.82,657.2,356.16
662.6,278.91,664.26,277.32,660.93,277.27,667.42,278.04,658.8,278.12,671.84,286.62,654.57,287.14,675.61,300.13,650.99,300.42,669.04,297.23,659.37,297.19,668.33,313.31,657.06,313.24,668.09,334.79,657.3,334.57,667.71,354.97,657.04,355.68
662.61,278.45,664.25,276.81,660.95,276.83,667.18,277.2,658.57,277.12,671.76,286.17,654.47,285.99,675.63,299.6,650.69,300.03,668.96,297.29,660.14,297.1,668.2,313.26,657.1,313.22,668.18,334.75,657.18,334.54,668.12,354.01,656.69,355.52
662.91,278.02,664.39,276.37,661.03,276.36,667.46,276.98,658.56,276.82,671.64,285.77,654.46,285.71,675.86,299.1,650.62,299.64,668.75,297.81,660.1,297.39,668.07,312.96,656.97,312.87,667.92,334.37,657.12,334.36,667.88,353.9,656.92,355.43
662.89,277.6,664.48,275.85,661.1,275.91,667.23,276.31,658.6,276.47,671.65,285.53,654.65,285.59,675.96,298.93,650.51,299.42,668.71,297.72,660.05,296.97,668.03,312.74,657.05,311.96,667.81,334.46,657.05,334.18,667.8,353.89,656.73,355.37
662.74,277.2,664.44,275.48,661.06,275.49,667.13,275.94,658.53,276.11,671.46,285.14,654.23,285.11,676.0,298.51,650.11,299.16,668.53,297.28,659.72,296.64,667.97,312.12,656.55,312.18,667.56,334.24,656.96,334.03,667.46,354.36,656.86,355.1
662.67,276.97,664.29,275.27,660.9,275.34,666.99,275.73,658.18,275.87,671.33,284.88,654.16,284.75,676.06,298.16,650.16,298.7,668.35,297.1,659.75,296.32,667.67,311.31,656.68,311.35,667.37,333.11,656.85,332.77,667.51,353.28,656.73,354.14
664.19,277.01,665.66,275.33,662.3,275.31,667.49,275.85,658.92,275.83,671.23,284.81,653.71,284.72,675.49,297.96,649.99,298.85,668.28,296.73,659.22,295.99,667.68,310.89,657.05,310.92,667.48,332.81,656.68,332.34,667.45,353.13,656.26,353.47
